issue,num_opinions,cluster,is_centroid
Should we end subsidies for renewable energy?,5,1,False
Should we restrict the use of social media and search engines in schools?,5,3,False
Should Britain ban pesticides to protect bees?,5,2,False
Should the voting age be reduced to 16?,1,3,False
Should we ban certain types of plastic to help the environment?,5,2,False
Are we living in a golden age of democracy?,5,0,False
Should the UK government subsidize sports in state schools?,5,4,False
Should we provide the public with greater access to information about their government?,4,1,False
Is the United Kingdom still a world power?,4,4,False
Should the UK government ban the sale of plastic bags?,5,2,False
Should all new homes be required to have solar panels?,5,1,False
Should the royal family be paid by the government?,4,1,False
Should we ban smoking in all outdoor public places?,4,2,False
Should there be a cap on university tuition fees?,1,1,False
Should the Royal family be funded by the taxpayer?,5,1,False
Should we introduce a 4-day working week?,1,1,False
Will people be able to live in a space station in orbit in the next 50 years?,5,0,False
Should people be allowed to grow cannabis plants in their garden?,5,0,False
Should we be using new gene editing techniques to prevent children being born with genetic disorders?,5,0,False
Is the world a better place than it was before the internet?,5,0,False
"Is it ok to use algorithms that estimate the probability that an individual is going to commit a crime, and use that probability to determine the severity of the punishment?",5,0,False
Should parents be allowed to opt their children out of sex education?,4,3,False
Should people be allowed to bring dogs into restaurants?,4,0,False
Should the BBC be publicly funded?,3,4,False
Should governments subsidise arts and culture?,4,1,False
Should the UK tax land at a higher rate than other forms of capital?,5,4,False
Should everyone have to learn a foreign language?,3,3,False
"Should we have a more progressive tax system, where the wealthy pay a higher percentage of their income?",4,1,False
Should we ban smoking in private vehicles?,1,2,False
Should we adopt a system of universal basic income (UBI) in which every adult citizen is guaranteed a minimum income?,5,1,False
Do you think we should legalise cannabis for recreational use?,5,2,False
Should countries be able to impose tariffs on imported goods?,5,1,False
Is the current model of global capitalism exploitative and unsustainable?,4,1,False
Should the government spend money on helping children with reading and writing skills?,4,3,False
Should all schoolchildren receive a free daily hot meal?,5,3,False
Is it ever acceptable for the police to break up peaceful demonstrations?,4,0,False
Should the UK build a new generation of nuclear power stations?,5,4,False
Should people who do not wear face masks in shops (except those exempt) be fined?,5,2,False
Should we establish a new regulatory framework for fracking?,5,1,False
Should there be a maximum amount of time a person can hold public office?,5,1,False
Should people be allowed to keep exotic animals as pets?,4,0,False
Should we stop giving aid to foreign countries?,5,2,False
Should children have the right to choose their own school?,4,3,False
Should we support the European Union?,5,4,False
Should we give every 16-year-old a free laptop?,5,3,False
Should the UK recognise Palestine as a country?,5,4,False
Are there too many tourists visiting the UK?,1,4,False
Should we make employers legally responsible for improving their employees’ physical and mental health?,1,0,False
Is it okay to build a new airport in the area of a nature reserve?,4,0,False
Should all parents have the right to tell their children what school to go to?,5,3,False
Is there an oversupply of university graduates in the UK?,4,4,False
Are we as a society doing enough to fight climate change?,5,1,False
Should the UK invest more in large-scale infrastructure projects?,5,4,False
Should we require all citizens to vote in elections?,5,3,False
Do we need a tougher legal framework to stop animal poaching?,5,0,False
Should we ban all pesticides and herbicides from agricultural use?,1,2,False
Are taxes too high?,5,1,False
Should we require a mandatory 2 year post-graduate term of national service for all those between 18 and 30?,5,3,False
Should the state subsidise the arts?,5,1,False
Should we all have to wear clothes when we are outdoors in public?,3,0,False
"Should the government pay to send students to school, or should students pay to go to school?",4,3,False
Should the government do more to help unemployed people find jobs?,5,1,False
Should we have a law banning the use of plastic bags?,1,2,False
Is the use of fossil fuels doing more harm than good to the economy?,4,1,False
Should people be allowed to buy drugs on the internet?,1,0,False
Should the United Kingdom be actively trying to promote British culture abroad?,5,4,False
Would it be better if the UK were part of the European Union?,4,4,False
Should we ban gambling on sporting events?,4,2,False
Should parents ever be prosecuted if their children fail to attend school?,4,3,False
Should we remove the right of landlords to evict tenants?,5,0,False
Should we get rid of compulsory education for children?,4,3,False
Should we ban the sale of new vehicles with petrol or diesel engines?,5,2,False
Is it fair to imprison someone for committing a crime that they did not realize was a crime?,3,0,False
Should the minimum age for drinking alcohol be increased to 21?,3,3,False
Should we fund more research into climate change and less into diseases such as dementia?,5,1,False
Should anyone under the age of 18 be permitted to consume alcohol?,2,3,False
Are there any limits to freedom of speech?,5,0,False
Should we make it more difficult to get a divorce?,5,0,False
Should the BBC have a bigger or smaller budget?,5,4,False
Is it the government’s role to ensure that the National Health Service is sustainable for future generations?,5,4,False
Should the government regulate the level of salt in processed food?,1,2,False
Should we increase taxes to reduce inequality?,1,1,False
Should all employers be required to offer flexible working arrangements to employees with childcare responsibilities?,5,3,False
Should we have a four-day work week?,5,1,False
Is the UK becoming less tolerant of free speech?,5,4,False
Should there be a universal basic income in the UK?,5,4,False
Is it ever permissible to use your body to block another person's way?,5,0,False
Should we be providing more subsidised childcare?,5,1,False
Should the UK invest in a high-speed rail line between its major cities ?,5,4,False
Should we invest more in renewable energy over traditional energy sources?,1,1,False
Should people in the UK be allowed to sue the government if they have been wrongfully convicted?,5,4,False
is it better for British people to buy british products?,3,4,False
Should the NHS pay more attention to the long-term consequences of prescribing certain drugs?,4,0,False
Should the National Health Service (NHS) be privatised?,5,4,False
Should universities try to attract more overseas students?,5,4,False
Should we spend more money on the arts?,5,1,False
Should all politicians have to declare their true income in parliament?,4,1,False
Should the government subsidise travel to make it more affordable?,5,1,False
Should we use more of the UK's land to grow food?,5,4,False
Should the government regulate how businesses use Artificial Intelligence systems?,5,0,False
Is it ok for the government to track people using GPS and CCTV technology?,5,0,False
Should we have a basic income?,3,1,False
Should countries develop more solar and wind energy?,5,1,False
Should the UK have fracking for shale gas?,5,4,False
Should the government intervene in the housing market by offering subsidies to those who want to buy their first house?,4,1,False
Is it okay to own a social creature like a dog as a pet if you cannot commit to walking it at least twice a day?,5,0,False
Is it a good idea to reduce the voting age to 16?,5,3,False
Should a country's success be measured by how equal that society is?,5,1,False
Should we subsidize the purchase of solar panels?,5,1,False
Should we raise taxes on second and third home purchases?,5,1,False
Will Scotland ever become independent?,5,4,False
Should we do more to tackle climate change?,3,1,False
Is government surveillance technology a net positive for humanity?,5,0,False
Should all students at state schools be able to attend university for free?,5,3,False
Is the UK National Health Service better than the US health care system?,4,4,False
Has the government done enough to tackle online disinformation?,5,0,False
Is the government doing enough to combat homelessness?,5,1,False
Should we introduce a law that says all adults must vote in all elections?,5,3,False
Should there be restrictions on the right to demonstrate?,5,0,False
Should we legalise recreational cannabis use?,5,2,False
Should the UK provide some sort of subsidy to poorer parts of the UK?,5,4,False
"Should people who earn more than £250,000 a year pay more tax?",5,1,False
Should we subsidize electric cars?,5,1,False
Should the government fund more public art in the UK?,5,4,False
"Would the UK economy function better if we had a basic income of £10,000 per year?",5,4,False
Should we ban the smoking of cigarettes in public places?,5,2,False
Should we have more nuclear power plants?,4,1,False
Is artificial intelligence going to be a net positive or a net negative for humanity?,4,0,False
Should people who can't pay their mortgage have their house repossessed?,5,1,False
Should we continue to subsidise the arts?,5,1,False
Should we use tax money to fund a universal basic income?,5,1,False
Is the UK doing enough to stop global warming?,4,4,False
Has the spread of mobile technology improved the quality of people's social lives?,4,0,False
Should parents be allowed to make medical decisions for their children?,5,3,False
Should the government invest more in infrastructure?,5,1,False
Should people be allowed to pay for a better education for their children?,5,3,False
Should all citizens vote on laws?,5,3,False
Should we raise the age for buying alcohol to 25?,4,3,False
Should people be entitled to free public transport?,5,1,False
Do the benefits of vaccination outweigh the risks?,5,0,False
Should all primary and secondary schools be free?,5,3,False
Should we try to reduce the amount of meat we eat?,3,2,False
Should we encourage young people to be entrepreneurs?,5,3,False
Should the government restrict how many calories can be in a sugary drink?,3,2,False
Should we keep the electoral system we currently have?,4,1,False
Should the government intervene to make sure that employees of more successful companies are paid more generously?,5,1,False
Should it be illegal for foreign nationals to be employed in jobs that could be done by UK nationals?,3,4,False
Should people be allowed to keep wild animals as pets?,5,0,False
Should all public land be made available for public use?,4,1,False
Is it acceptable for the government to use propaganda to shape public opinion?,4,0,False
Should we take a more active role in helping the less well-off countries?,5,1,False
Should the UK impose a ban on selling cars that run on fossil fuels?,5,2,False
Should parents be allowed to gift their estates to their children?,5,3,False
Is it OK to drive across the country to visit a friend despite the carbon cost?,5,0,False
Should the government enforce a carbon tax on businesses?,5,1,False
Should we ban the production of food products containing palm oil?,5,2,False
Should we allow people to rent out spare rooms in their homes as Airbnb-style hotels?,5,1,False
Should people have the right to use e-cigarettes in public places?,4,0,False
Are people more productive when they work from home?,5,0,False
Should we have a maximum wage?,5,1,False
Should there be restrictions on the number of children a person can have?,5,3,False
Should people who do not have UK citizenship be allowed to vote in UK elections?,5,4,False
Should people in the UK be encouraged to use a bicycle to get to work?,3,4,False
Should new roads be built to relieve congestion on a major route through a city?,4,1,False
Should all people be able to legally immigrate to the UK?,5,4,False
Should we increase the state pension age?,5,1,False
Should the government limit the number of TV channels a satellite TV company can provide to just the four free-to-air channels?,5,0,False
Should we get rid of all laws and start from scratch?,5,1,False
Should the Prime Minister's office be open to the public?,5,0,False
Should we ban the export of all animal products?,5,2,False
Should there be a higher tax on unhealthy foods?,4,1,False
Should the government ban certain political parties from participating in elections?,5,2,False
Should the state pay for couples to freeze their sperm or eggs so they can have children when they are older?,5,3,False
Should the government support artists and their work?,5,1,False
Should the Government reduce the tax rate on cigarettes?,4,1,False
Should we ban large stores from selling food items that are considered unhealthy?,5,2,False
Should the UK tax on sugar be increased to help reduce childhood obesity?,5,1,False
Should the government subsidize the airline industry?,4,1,False
Should it be mandatory to wear a helmet while cycling?,5,0,False
Should we introduce a new public holiday to commemorate the UK’s exit from the EU?,5,4,False
Is the government doing enough to protect us from climate change?,5,1,False
Should companies be required to tell you where your clothes were made?,5,0,False
Should we allow more fracking for gas?,5,1,False
Should the government ban eating meat in order to save the planet?,5,2,False
Is the quality of life in the UK higher or lower than it was 50 years ago?,5,4,False
Should more effort be put into encouraging people to vote?,5,1,False
Should we ban the consumption of meat?,5,2,False
Should we make it easier for people to become citizens of the UK?,4,4,False
Should we give the EU access to UK fishing waters?,4,4,False
Should university students have to pay fees to attend university?,5,3,False
Is capitalism in its current form morally defensible?,5,0,False
Should corporations be allowed to buy and sell the rights to use people’s data for advertising?,5,0,False
Should we create council housing that no one can buy?,5,1,False
Should the government set minimum wages?,5,1,False
Should police be allowed to stop and search a person for no reason at all?,5,0,False
Should we have a second referendum on Scottish independence?,4,4,False
Should the government introduce a universal basic income?,5,1,False
Should people have the right to smoke in their own homes?,2,0,False
Should the government allow a new oil refinery to be built on the coast?,3,1,False
Should the government increase the size of the armed forces?,5,1,False
Should the government subsidise businesses so that they can expand and create more jobs?,4,1,False
Should we allow the creation of “designer babies”?,4,0,False
Will the UK reduce the number of days a year on which a person is allowed to work?,5,4,False
Should it be possible for you to legally download copyrighted material from the internet for free?,5,0,False
Should we adopt a four-day working week?,5,1,False
Should there be more or less government involvement in health and safety?,4,1,False
Does the state have a role in reducing obesity in children?,5,3,False
Should the UK stop issuing £50 notes?,5,4,False
Should the government ban the purchase of large private cars in order to reduce air pollution?,5,2,False
Should the UK abolish private schools?,4,4,False
Should we ban the sale of gasoline and diesel powered cars by 2035?,4,2,False
Should all children in schools receive a free laptop?,5,3,False
Should it be possible to sue doctors who prescribe drugs with the knowledge that the drugs are dangerous?,5,0,False
Should parents be allowed to leave children in the care of their grandparents while they go on holiday?,4,3,False
Should people who use public transport be fined if they take up too much space with their personal items?,4,0,False
Should the government invest more in railway infrastructure to help improve public transport?,5,1,False
Is it ever morally permissible to tell a white lie?,5,0,False
Is the internet a public utility?,5,0,False
Will artificial intelligence ever match human intelligence?,4,0,False
Is it ever morally permissible to lie?,5,0,False
Should the government support businesses by reducing taxes on business income?,5,1,False
Is it ever OK for a politician to ask an aide to do a personal favour?,5,0,False
Should people be fined for littering in public places?,5,2,False
Should the government ban the sale of new petrol cars in 2030?,4,2,False
Should we restrict the use of algorithms in making hiring decisions?,5,0,False
Should we ban junk food adverts during children's TV programmes?,4,2,False
"Should the UK adopt a universal basic income of £10,000 per adult per year?",5,4,False
Should prostitution be legal?,5,2,False
Should there be a maximum limit to the amount of money that people can inherit?,4,1,False
Should a vegetarian diet be compulsory in primary schools?,4,3,False
Should the UK have its own cryptocurrency?,4,4,False
Are the rules about acceptable content in online advertising too restrictive?,3,0,False
Should we allow employers to ask job applicants for their credit score?,5,0,False
Should we restrict foreign investment in domestic industries?,5,1,False
Should it be illegal to say things that are false about other people?,4,0,False
Is it okay for people to smoke in public parks?,3,0,False
Should more be done to help combat climate change?,1,1,False
Should we ban all single-use snack containers?,5,2,False
Should we stop using disposable plastic?,1,2,False
Should we ask the public to vote for laws?,3,1,False
Should prisons be allowed to use solitary confinement?,4,0,False
Should we abolish or reduce university tuition fees?,5,1,False
Should we remove statues of people associated with slavery?,1,2,False
Would it be good for the UK to join the Eurozone?,5,4,False
Is it a good idea to build a high-speed rail line between London and Scotland?,5,4,False
Do we need to be concerned about climate change?,5,1,False
Should the BBC be a public service broadcaster or a commercial broadcaster?,5,4,False
Does free trade make the world a better place?,5,1,False
Should we significantly increase the use of renewable energy sources?,1,1,False
Should we change the way that we vote in UK elections?,5,4,False
Should all university education be provided at no cost?,3,3,False
Is the UK government morally justified in collecting taxes to fund public healthcare?,5,4,False
Should the government allow the sale of non-medicinal recreational drugs?,5,2,False
Is it wrong to sell organs for transplant?,4,0,False
Should there be term limits for elected officials?,5,1,False
Should it be legal to sell e-cigarettes to people under 18?,4,2,False
Should the government take a share of a large lottery win?,5,1,False
Is it ok for the UK government to tax people who earn a high salary at a higher rate than people who earn a lower salary?,5,1,False
Should parents have the right to choose their children’s schools?,5,3,False
Is it okay to have laws against hate speech?,1,0,False
Should we increase taxes to fund a more comprehensive benefits system?,5,1,True
Should the government enforce compulsory national service?,5,3,False
Are there any limits on what can be allowed to be broadcast on television?,5,0,False
Would it be a good idea for the government to regulate the amount of sugar that can be put into any soft drink sold in the UK?,5,4,False
Should we be concerned about the future of the National Health Service?,4,4,False
Would it be a good idea to make the minimum wage much higher?,5,1,False
Should we adopt a universal basic income policy?,5,1,False
Should we spend more on mental health services?,5,1,False
Should we ban the import of single use plastics from China?,5,2,False
Is it right to spend £15 billion on high speed rail links betweeb cities outside London?,4,4,False
Should we make it illegal for a person to leave their partner or spouse?,5,0,False
Should the number of referendums be reduced in the UK?,5,4,False
Are our brains like computers?,4,0,False
Should we provide housing for all homeless people?,4,1,False
Is it okay to take away a child from its parents because of their lifestyle?,5,0,False
Should there be a maximum wage in the UK?,5,4,False
Should the government ban all animal products?,4,2,False
Should the UK have a new runway at Heathrow?,5,4,False
Should we increase the length of time required for a divorce by mutual consent from 2 to 5 years?,5,1,False
Should we increase the tax on sugary drinks to reduce obesity?,5,1,False
Should the UK increase taxes on high income earners?,5,4,False
Are the long term risks from radioactivity from nuclear power plants greater than the short term benefits from the generation of electricity?,5,1,False
Is the NHS a socialist institution?,5,4,False
Are celebrities treated too harshly by the media?,5,0,False
Should we raise the maximum age for leaving school to 18?,3,3,False
Should doctors prescribe medical cannabis?,5,0,False
Is immigration good for the UK economy?,3,4,False
Should we ban the sale of diesel cars by 2023?,1,2,False
Should the Government encourage immigration into the UK from the EU?,1,4,False
Should parents be able to withdraw their children from sex education?,5,3,False
Should we ban pesticides?,5,2,False
Is the UK's National Health Service one of the best health systems in the world?,5,4,False
Should the BBC be legally compelled to be politically neutral?,5,4,False
Should the UK spend less on defence and more on the NHS?,5,4,False
Is the use of marijuana by non-medical users beneficial?,5,0,False
Is the move to a four-day working week something we should be looking at?,5,1,False
How important is it to save energy and recycle resources?,5,1,False
Should all children learn how to code?,5,3,False
Should we be spending more on the police and armed forces to improve security in the UK?,5,4,False
Should people have the right to smoke marijuana for medical purposes?,5,0,False
Should the UK adopt a higher tax on the use of plastic bags?,5,4,False
Is it ethical to use artificial insemination to allow a parent to have a child with some of their own DNA?,5,0,False
"If we could extend human life by 50 years, should we do it?",5,1,False
Is there a benefit to teaching children to learn foreign languages?,5,3,False
Is it fair to ask employers to pay for childcare when both parents are working?,1,3,False
Has the rise of the Internet caused loneliness?,5,0,False
Should companies be allowed to use artificial intelligence to select candidates for recruitment or promotion?,5,0,False
Should Scotland be given a second referendum on independence?,5,4,False
Should the UK impose tariffs on goods from the EU?,5,4,False
Should the state fund the arts?,5,1,False
Should we increase taxes on the wealthy?,4,1,False
Are new nuclear power plants a good idea?,5,1,False
Do we need to limit the number of hours people can work to prevent overworking and the ensuing health issues?,4,0,False
Should we make it easier for people from outside the UK to immigrate here?,5,4,False
Should it be illegal to lie to a parliamentary select committee?,5,0,False
Will Brexit ultimately prove to be a good thing for the UK?,4,4,False
Should every local authority offer every child a free school meal?,5,3,False
Should we spend more or less on the NHS?,5,1,False
Should Scotland leave the UK?,5,4,False
Should businesses be encouraged to find a way to recycle their products?,4,1,False
Are the benefits of free public transportation worth the cost?,5,1,False
Should we ban the use of all plastic products?,5,2,False
Should we have a law against bullying at school?,5,3,False
Should the UK government make a commitment to reduce the number of people without homes by at least 10% each year?,5,4,False
Should we increase investment in renewable energy?,5,1,False
Should people who use more than their fair share of electricity or other public utilities be forced to pay higher rates?,4,1,False
Is it okay to use disposable plastic cups at a social gathering?,5,0,False
Should the government ban plastic straws?,5,2,False
Should the UK continue to provide development aid to African nations?,3,4,False
Should the UK allow dual citizenship?,4,4,False
Should the UK use prison sentences to discourage behaviour?,5,4,False
Should we allow the creation of human-animal hybrids through genetic engineering?,5,0,False
Should universities be allowed to ban speakers on their campuses?,5,2,False
Should we build more houses in the UK?,4,4,False
Should the government offer subsidies to make housing more affordable?,5,1,False
Should we tax plastic bags at checkout?,5,2,False
Should a tax on sugar be implemented to reduce the number of obese people in the country?,5,1,False
Should the state subsidize parents who choose to homeschool their children?,5,3,False
Should we increase public transport fares and use the extra revenue to provide free public transport for certain people?,5,1,False
Should the government ban certain websites from the Internet?,4,2,False
"Is there a need for stricter regulation of the tech industry, to reduce levels of harmful content online?",5,0,False
Should the UK government ban the manufacture of new diesel vehicles?,4,2,False
Is it a good idea to ban advertising in children's programs?,4,2,False
Should we introduce Universal Basic Income (UBI)?,5,1,False
Should all UK workers have access to four weeks paid holiday?,5,4,False
Should we legalize the cultivation and consumption of magic mushrooms?,5,2,False
Should we ban the sale of diesel and gasoline vehicles?,4,2,False
Is the 'dark web' more of a threat to humanity than it is a liberator?,5,0,False
Should students who have a higher education be obliged to do a year of national service?,5,3,False
Should the UK have a more generous asylum seeking policy?,4,4,False
Should the UK government subsidize the arts?,4,4,False
Is the UK a feminist country?,5,4,False
Will we ever eradicate malaria?,5,0,False
Should the UK allow for-profit organizations to run schools?,5,4,False
Should the BBC continue to receive funding from the government?,5,4,False
Should we be concerned that many jobs are now being performed by robots?,5,0,False
"Should we spend more money on healthcare, or should we spend more on other public services, like education?",5,1,False
Is it worth trying to reduce inequality?,5,1,False
Should the government pay for healthcare and education?,5,1,False
Does it make sense to use artificial sweeteners in drinks?,5,0,False
Is it acceptable for the government to fund projects aimed at reducing inequalities between regions of the UK?,3,4,False
Should people be able to sell their organs to be used in transplants?,5,0,False
Should we build a new international airport?,2,1,False
Is the UK's economy better off outside the European Union?,5,4,False
Should the government fund research into educational programs how to make humans smarter?,5,1,False
Should the government be allowed to pass a law forcing people to pay a tax to reduce the risk of catastrophic climate change?,5,1,False
Should the government spend money on projects that create temporary jobs?,5,1,False
Should the UK seek to re-join the EU?,5,4,False
Should the government subsidise the use of solar energy?,5,1,False
Should students who receive student loans have to pay interest on them?,5,3,False
Is it right to increase the tax rate on the top 1% of earners?,5,1,False
Are video games art?,2,0,False
Should the Government fund research into cloning?,1,1,False
Should we allow the use of mobile phones in schools?,5,3,False
Will we ever develop telepathy as a useful communication medium?,5,0,False
Is the UK more or less liberal than the US?,5,4,False
Is it okay to invest in a company that manufactures weapons for military use?,2,0,False
Should we cut the minimum voting age to 14?,5,3,False
Is there a place for the monarch in contemporary society?,1,0,False
Should the government subsidize solar panels for individual houses?,5,1,False
"Should we increase taxes on people who earn more than £150,000?",5,1,False
Should we lower the voting age to 16?,5,3,False
Should there be more public ownership of utility companies?,5,1,False
Should we ban new-build coal power stations?,5,2,False
Are people who hold high political office and have a significant influence on public life ethically required to disclose details about their family wealth?,5,0,False
Should parents be obliged to send their children to school?,5,3,False
Should we expand our reliance on nuclear power as we phase out fossil fuel energy production?,4,1,False
Is Britain's tax burden too high?,5,4,False
"Is it right to have different policies for England, Scotland, Wales and Northern Ireland?",5,4,False
Should there be stricter penalties for animal cruelty?,5,0,False
Should universities be allowed to ban speakers with views they dislike?,4,2,False
Should the government encourage businesses to hire more women in senior positions?,5,1,False
Should we increase our defence spending?,5,1,False
Should we have a maximum and minimum wage?,5,1,False
Should universities allow students to submit their essays in voice recordings?,5,3,False
Should there be a ban on plastic cups and cutlery?,5,2,False
Should the Government increase taxes to reduce the deficit?,5,1,False
Does the government need to subsidize university tuition?,4,1,False
Is it OK to use animal products at all for beauty care?,5,0,False
Should we ban smoking completely?,5,2,False
Should we implement free early childhood education?,5,3,False
Should we reduce the voting age from 18 to 16?,4,3,False
Is it reasonable to ban online trolling from social media?,5,0,False
Are the NHS and the UK welfare state fit for purpose?,4,4,False
Should the UK aim to achieve carbon neutrality by 2030?,5,4,False
Should the government make it harder for people to sue companies over product liability?,4,0,False
Should we have a minimum unit price for alcohol?,5,1,False
Should the UK government spend more on the NHS?,5,4,False
Will there ever be a cure for the common cold?,5,0,False
Are there any circumstances in which it's okay to lie?,4,0,False
Is it important to maintain a strong defence force in the UK?,5,4,False
Should the government do more to help the homeless?,5,1,False
Does the UK need a minimum wage?,5,4,False
Is it a good idea to replace the pound with the Euro?,5,4,False
Should the government put restrictions on the maximum amount of money people can earn in order to reduce inequality?,5,1,False
Should all children in the UK be taught to play a musical instrument?,5,3,False
Should the state provide free childcare?,4,3,False
Should parents be fined if their children fail to attend school?,4,3,False
Is it ethical for a person to live in a way that harms the environment?,5,0,False
Should parents be allowed to give babies away without the approval of a judge?,5,0,False
Will we ever solve climate change?,5,1,False
Should we reduce the voting age to 16?,4,3,False
Should all schools be forced to have a uniform policy?,4,3,False
Should voting be compulsory?,5,3,False
Should the UK allow foreign companies to build 5G networks in the UK?,4,4,False
Do the benefits of fracking outweigh the environmental risks?,5,1,False
Should we ban the production of all types of electric cars?,5,2,False
Is a carbon tax the best way to deal with climate change?,4,1,False
Should we make all single-use drink containers biodegradable?,5,2,False
Should the UK's ties to Europe be stronger or weaker?,5,4,False
Should the government spend more money on building new hospitals?,5,1,False
Are there limits to how much tax people should have to pay?,5,1,False
Should the government allow large supermarket chains to expand their retail footprint?,5,1,False
Should we require people to wear face masks?,5,0,False
Should we implement a four-day workweek?,5,1,False
Is it okay for parents to send their kids to private school?,1,3,False
Do we need more nuclear power plants?,1,1,False
Should we accept foreign exchange students to attend state schools?,4,3,False
Should we renationalise the electricity network?,5,1,False
Does the UK need a space programme?,5,4,False
Should the UK continue to subsidise fossil fuel industries?,5,4,False
Should the UK keep the pound or should it join the Euro?,5,4,False
Should the government ban the use of animals in research?,1,2,False
Should we prohibit mobile phones from being used in cars?,5,2,False
Do we have a responsibility to act to prevent future pandemics?,5,0,False
Should we require that people who have pets sterilize them before adopting them?,5,0,False
Should the government increase the taxes on carbon?,5,1,False
Should the UK government make more use of artificial intelligence to detect fraud in the welfare system?,5,0,False
Should the UK pay its fair share to help poorer countries reduce poverty?,5,4,False
Should everyone receive a basic income?,5,1,False
Should we ban smoking in all public places?,5,2,False
Should we subsidize renewable energy companies to increase their production?,2,1,False
Should we make access to university free for all students?,5,3,False
Should there be a universal basic income (UBI)?,5,1,False
Should we ban the breeding of animals for the meat industry?,5,2,False
Should we have a special tax for unhealthy food?,5,1,False
Should all companies in the UK be required to report on the gender pay gap?,2,4,False
Should we make it mandatory to recycle?,1,1,False
"Is the smoking ban in pubs, bars, and restaurants a good thing?",5,2,False
Should we reduce the age at which children are allowed to drink alcohol?,5,3,False
Should we allow some of the land owned by the royal family to be sold off?,5,1,False
Should we adopt a universal basic income?,4,1,False
Is the UK's approach to the EU right or wrong?,5,4,False
Is the UK's departure from the EU a good thing for the country?,5,4,False
Should we use public funds to provide free childcare?,5,1,False
Is there a role for a minimum wage?,5,1,False
Should there be a higher tax on sugar in food and drinks?,5,1,False
Should the UK adopt a universal basic income?,5,4,False
Should companies be allowed to pay employees less than minimum wage as long as the company provides them with subsidized meals and housing?,5,1,False
Should we build more houses to tackle the UK’s housing shortage?,5,4,False
Should the government of a country intervene in the affairs of another country?,4,1,False
Should the UK build a moon base?,5,4,False
Do we need a sugar tax?,5,1,False
Should it be illegal to smoke in one's home?,4,2,False
Should the government increase funding to train professional musicians?,5,1,False
Should we be able to buy a car without having a license?,5,0,False
Should we impose higher taxes on the richest people?,5,1,False
Should the government use drones to monitor for criminal activity?,5,0,False
Should the police and security services be allowed to use drones to gather information?,4,0,False
Should we ban the sale of non-essential plastics?,5,2,False
Do artificial intelligence systems make fair decisions?,5,0,False
Is marijuana as harmful as alcohol?,5,0,False
Should people with more money be forced to pay more taxes?,5,1,False
Would it be a good idea to make all school uniforms gender neutral?,4,3,False
Will the world ever reach a point of zero inequality?,5,1,False
Should there be a national register of the genetic codes of all the population?,5,0,False
